number,value,datetime_start,datetime_complete,duration,params_d_token,params_dropout,params_lr,state
66,0.24409207241710537,2025-08-14 17:17:07.316875,2025-08-14 17:17:23.240180,0 days 00:00:15.923305,125,0.18154164667623812,0.00029599281607101867,COMPLETE
67,0.23521805561147663,2025-08-14 17:17:23.241181,2025-08-14 17:17:39.093257,0 days 00:00:15.852076,120,0.06937068932003998,0.00015284451295858453,COMPLETE
68,0.23416390219896074,2025-08-14 17:17:39.095256,2025-08-14 17:17:54.568798,0 days 00:00:15.473542,101,0.21761609459902298,0.00018880786537390655,COMPLETE
69,0.23385095176983486,2025-08-14 17:17:54.569799,2025-08-14 17:18:09.998284,0 days 00:00:15.428485,87,0.17025357944012326,0.0001695237723035764,COMPLETE
70,0.2336558137508304,2025-08-14 17:18:10.000284,2025-08-14 17:18:25.337257,0 days 00:00:15.336973,113,0.12104910669419777,0.00024067263154380514,COMPLETE
71,0.23321923976236303,2025-08-14 17:18:25.339256,2025-08-14 17:18:40.736461,0 days 00:00:15.397205,118,0.14476170335924887,0.00031496913188546084,COMPLETE
72,0.23436591215339564,2025-08-14 17:18:40.738463,2025-08-14 17:18:56.011480,0 days 00:00:15.273017,107,0.11771634021102687,0.00035406701702616684,COMPLETE
73,0.2343940823625513,2025-08-14 17:18:56.013482,2025-08-14 17:19:12.119064,0 days 00:00:16.105582,121,0.0866419137008676,0.00043401787962340144,COMPLETE
74,0.23476566569394938,2025-08-14 17:19:12.120065,2025-08-14 17:19:27.987697,0 days 00:00:15.867632,119,0.154567601451468,0.00021479090993116112,COMPLETE
75,0.23940067277701824,2025-08-14 17:19:27.988696,2025-08-14 17:19:43.926884,0 days 00:00:15.938188,125,0.0997091303706134,0.0003374251016005886,COMPLETE
76,0.23459495195498967,2025-08-14 17:19:43.928883,2025-08-14 17:19:59.012986,0 days 00:00:15.084103,128,0.07646315473020417,0.0002572473598148405,COMPLETE
77,0.23376827535079403,2025-08-14 17:19:59.014987,2025-08-14 17:20:13.847376,0 days 00:00:14.832389,65,0.13299881917729825,0.00027324685428974826,COMPLETE
78,0.2365142403262099,2025-08-14 17:20:13.849376,2025-08-14 17:20:28.758172,0 days 00:00:14.908796,113,0.05625444835027314,0.00038684969198558183,COMPLETE
79,0.2356218453624396,2025-08-14 17:20:28.759172,2025-08-14 17:20:43.522898,0 days 00:00:14.763726,95,0.18401266656485543,0.00019714458109145234,COMPLETE
80,0.23739943916867698,2025-08-14 17:20:43.523899,2025-08-14 17:20:58.419341,0 days 00:00:14.895442,41,0.11050369812498367,0.0004986583047975539,COMPLETE
81,0.23629811905834666,2025-08-14 17:20:58.420342,2025-08-14 17:21:13.242526,0 days 00:00:14.822184,122,0.1294083354364815,0.00031720414895573904,COMPLETE
82,0.23656770618432146,2025-08-14 17:21:13.243527,2025-08-14 17:21:28.749471,0 days 00:00:15.505944,118,0.1412100961471308,0.0002539046516651743,COMPLETE
83,0.23841574426634696,2025-08-14 17:21:28.750472,2025-08-14 17:21:44.528378,0 days 00:00:15.777906,116,0.12296145488259341,0.0002167793894770852,COMPLETE
84,0.23423523103539035,2025-08-14 17:21:44.530378,2025-08-14 17:22:00.140724,0 days 00:00:15.610346,110,0.10447961984439383,0.00030240049916743734,COMPLETE
85,0.23700619583361757,2025-08-14 17:22:00.142725,2025-08-14 17:22:16.212969,0 days 00:00:16.070244,79,0.11631020444758393,0.00026074650148874795,COMPLETE
86,0.23354720481232732,2025-08-14 17:22:16.213970,2025-08-14 17:22:32.210793,0 days 00:00:15.996823,120,0.042929125690313895,0.00024126719129674448,COMPLETE
87,0.2341735616611417,2025-08-14 17:22:32.212794,2025-08-14 17:22:48.066199,0 days 00:00:15.853405,123,0.14384599703203146,0.00040997971835560063,COMPLETE
88,0.23840670145436096,2025-08-14 17:22:48.068200,2025-08-14 17:23:03.904826,0 days 00:00:15.836626,103,0.19247018306368302,0.0003380379264657805,COMPLETE
89,0.23683245510399148,2025-08-14 17:23:03.906827,2025-08-14 17:23:20.125038,0 days 00:00:16.218211,108,0.1273577568416206,0.0002823837114084143,COMPLETE
90,0.2321672785882725,2025-08-14 17:23:20.126037,2025-08-14 17:23:34.947355,0 days 00:00:14.821318,115,0.1632599820454681,0.0008992719408148197,COMPLETE
91,0.23700548622323928,2025-08-14 17:23:34.949356,2025-08-14 17:23:49.776154,0 days 00:00:14.826798,114,0.1748777376650019,0.0008948928196478147,COMPLETE
92,0.23688039892896298,2025-08-14 17:23:49.778155,2025-08-14 17:24:04.607569,0 days 00:00:14.829414,117,0.15919366648977595,0.0006805628046371014,COMPLETE
93,0.23832421348082727,2025-08-14 17:24:04.608568,2025-08-14 17:24:19.330646,0 days 00:00:14.722078,75,0.15029370716745716,0.00011841852980580835,COMPLETE
94,0.23565485169977746,2025-08-14 17:24:19.332647,2025-08-14 17:24:34.169038,0 days 00:00:14.836391,126,0.13524650917681375,0.0007374234517690498,COMPLETE
95,0.24012033258424803,2025-08-14 17:24:34.171039,2025-08-14 17:24:48.969350,0 days 00:00:14.798311,111,0.16912259773743094,0.0009965986039855695,COMPLETE
96,0.23533776587137384,2025-08-14 17:24:48.970350,2025-08-14 17:25:03.828189,0 days 00:00:14.857839,120,0.08659158528370088,0.0002254995000554616,COMPLETE
97,0.23635347263320866,2025-08-14 17:25:03.830190,2025-08-14 17:25:18.672386,0 days 00:00:14.842196,116,0.16366959599878605,0.00017378608005232774,COMPLETE
98,0.23119074219961608,2025-08-14 17:25:18.673386,2025-08-14 17:25:33.511708,0 days 00:00:14.838322,124,0.09318672500234544,0.0001895319998018624,COMPLETE
99,0.23662019796563172,2025-08-14 17:25:33.512708,2025-08-14 17:25:48.311751,0 days 00:00:14.799043,124,0.07067176077316742,0.00016195810011287174,COMPLETE
