number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_num_boost_round,params_num_leaves,state
30,0.3186223786022221,2025-08-14 14:41:41.828881,2025-08-14 14:41:46.043101,0 days 00:00:04.214220,0.6021998357942585,0.88723726467667,0.01840895493427769,204,90,COMPLETE
31,0.31619119507908283,2025-08-14 14:41:46.045102,2025-08-14 14:41:48.620699,0 days 00:00:02.575597,0.9469446322887813,0.7990508592972351,0.03333337531516063,158,70,COMPLETE
32,0.3317852700243047,2025-08-14 14:41:48.622700,2025-08-14 14:41:52.318525,0 days 00:00:03.695825,0.8728884337226197,0.8287965484945173,0.04219518266683864,298,57,COMPLETE
33,0.31749202496229334,2025-08-14 14:41:52.320526,2025-08-14 14:41:56.338425,0 days 00:00:04.017899,0.8809564736189912,0.9764477010072915,0.026246069733368745,215,75,COMPLETE
34,0.320606627310688,2025-08-14 14:41:56.341426,2025-08-14 14:41:59.912227,0 days 00:00:03.570801,0.7845467487900104,0.7728102689206805,0.03481074018509048,151,125,COMPLETE
35,0.3470727006511954,2025-08-14 14:41:59.914227,2025-08-14 14:42:05.480730,0 days 00:00:05.566503,0.9225372221766457,0.8723260577098179,0.043161371500346886,330,84,COMPLETE
36,0.31479957798274555,2025-08-14 14:42:05.482731,2025-08-14 14:42:12.211879,0 days 00:00:06.729148,0.5749099690543682,0.9160542611323182,0.008816648273704104,505,49,COMPLETE
37,0.31844656522352033,2025-08-14 14:42:12.213880,2025-08-14 14:42:19.082417,0 days 00:00:06.868537,0.5762014808278428,0.9667362322404974,0.00714340126622805,496,46,COMPLETE
38,0.31373094742511987,2025-08-14 14:42:19.084417,2025-08-14 14:42:25.211789,0 days 00:00:06.127372,0.5441764939176528,0.9122565554520633,0.009201922409503687,523,42,COMPLETE
39,0.3133355816333277,2025-08-14 14:42:25.213788,2025-08-14 14:42:28.975632,0 days 00:00:03.761844,0.6801407282810201,0.6058665131121064,0.01006643089934888,583,26,COMPLETE
40,0.3206909874081662,2025-08-14 14:42:28.977631,2025-08-14 14:42:32.822475,0 days 00:00:03.844844,0.6685583813419155,0.5639330372016995,0.005891353830286857,631,25,COMPLETE
41,0.31471614606077175,2025-08-14 14:42:32.824476,2025-08-14 14:42:36.907240,0 days 00:00:04.082764,0.5474247736006839,0.5958660046481609,0.010342768053992757,585,32,COMPLETE
42,0.314407464068181,2025-08-14 14:42:36.910240,2025-08-14 14:42:41.198218,0 days 00:00:04.287978,0.5222002843596427,0.6278607099453932,0.009686450076306653,589,31,COMPLETE
43,0.31632992199332055,2025-08-14 14:42:41.199218,2025-08-14 14:42:44.884042,0 days 00:00:03.684824,0.5286677269069829,0.6297677682758841,0.007143000523030853,695,17,COMPLETE
44,0.3147015317252613,2025-08-14 14:42:44.886043,2025-08-14 14:42:49.677115,0 days 00:00:04.791072,0.5214265964674135,0.6121774073704854,0.009399598050291487,681,33,COMPLETE
45,0.31523101818245847,2025-08-14 14:42:49.679116,2025-08-14 14:42:56.394823,0 days 00:00:06.715707,0.5932467746862853,0.9993664181394051,0.011533454860192856,562,42,COMPLETE
46,0.3192619503651026,2025-08-14 14:42:56.396824,2025-08-14 14:43:00.015777,0 days 00:00:03.618953,0.6864880281936315,0.5138970906455652,0.0065974678805061915,596,29,COMPLETE
47,0.3168403553783917,2025-08-14 14:43:00.017778,2025-08-14 14:43:03.867702,0 days 00:00:03.849924,0.557866621445846,0.7153524547067378,0.01790294678913105,778,18,COMPLETE
48,0.3152846734012083,2025-08-14 14:43:03.869703,2025-08-14 14:43:06.943392,0 days 00:00:03.073689,0.6250053488199132,0.6519999329062975,0.012773332240369134,534,21,COMPLETE
49,0.3149507261865173,2025-08-14 14:43:06.945393,2025-08-14 14:43:12.258580,0 days 00:00:05.313187,0.7126416448032329,0.5786963346672205,0.00832627017986987,739,36,COMPLETE
